Mar 29, 2018 11:11:42 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Mar 29, 2018 11:11:42 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Mar 29, 2018 11:11:42 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/apache-karaf-4.1.5/lock
Mar 29, 2018 11:11:42 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Mar 29, 2018 11:11:42 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-03-29T11:11:43,512 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 | Adding features: instance/[4.1.5,4.1.5], package/[4.1.5,4.1.5], log/[4.1.5,4.1.5], ssh/[4.1.5,4.1.5], aries-blueprint/[4.1.5,4.1.5], framework/[4.1.5,4.1.5], system/[4.1.5,4.1.5], eventadmin/[4.1.5,4.1.5], feature/[4.1.5,4.1.5], shell/[4.1.5,4.1.5], management/[4.1.5,4.1.5], service/[4.1.5,4.1.5], jaas/[4.1.5,4.1.5], shell-compat/[4.1.5,4.1.5], deployer/[4.1.5,4.1.5], diagnostic/[4.1.5,4.1.5], wrap/[0,0.0.0], bundle/[4.1.5,4.1.5], config/[4.1.5,4.1.5], kar/[4.1.5,4.1.5]
2018-03-29T11:11:43,701 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 | Changes to perform:
2018-03-29T11:11:43,701 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |   Region: root
2018-03-29T11:11:43,701 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |     Bundles to install:
2018-03-29T11:11:43,702 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2018-03-29T11:11:43,702 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.1.0
2018-03-29T11:11:43,702 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.8.3
2018-03-29T11:11:43,702 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2018-03-29T11:11:43,702 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2018-03-29T11:11:43,702 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2018-03-29T11:11:43,703 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2018-03-29T11:11:43,703 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2018-03-29T11:11:43,703 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.1
2018-03-29T11:11:43,703 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2018-03-29T11:11:43,703 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.1.5
2018-03-29T11:11:43,703 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.1.5
2018-03-29T11:11:43,704 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.1.5
2018-03-29T11:11:43,704 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.1.5
2018-03-29T11:11:43,704 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.1.5
2018-03-29T11:11:43,704 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.1.5
2018-03-29T11:11:43,704 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.1.5
2018-03-29T11:11:43,704 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.1.5
2018-03-29T11:11:43,705 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf/org.apache.karaf.event/4.1.5
2018-03-29T11:11:43,705 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.1.5
2018-03-29T11:11:43,705 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.1.5
2018-03-29T11:11:43,705 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 10 - org.apache.karaf.features.core - 4.1.5 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.1.5
